Entity Name,Entity Code,GAAP,Business Unit,Year,Period,Category,User GL code,User GL Description,Layers in CoA,Member, Column1 , Column2 , Column3 , Column4 , Column5 , Column6 , Column7 , Column8 , Column9 , Column10 , Column11 , Column12 , Column13 , Column14 , Column15 
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,210008100,Acc. Depreciation-Computer Software,BS_GROUP,11310000,,,,,,,,11310000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,200008330,Computer Software - Adjustment,BS_GROUP,11301000,,,,,,,,11301000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,210008265,Acc. Depreciation-Computer Software Adj,BS_GROUP,11311000,,,,,,,,11311000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11320000,,,,,,,,11320000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,200008299,S4 Hana migration Asset. Account,BS_GROUP,11302000,,,,,,,,11302000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,210008299,S4 Hana migration Acc.dep Account,BS_GROUP,11312000,,,,,,,,11312000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,219999991,Other Intangibles,BS_GROUP,11303000,,,,,,,,11303000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,219999999,Intangible assets,BS_GROUP,11313000,,,,,,,,11313000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_IntangDE,,,,,,,BS_IntangDE,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11400000,,,,,,,,11400000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11410000,,,,,,,,11410000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11420000,,,,,,,,11420000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_IntangIGA,,,,,,,BS_IntangIGA,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11500000,,,,,,,,11500000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11510000,,,,,,,,11510000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11520000,,,,,,,,11520000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_IntangAUC,,,,,,,BS_IntangAUC,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11530000,,,,,,,,11530000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11540000,,,,,,,,11540000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_IntangOCIA,,,,,,,BS_IntangOCIA,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11200000,,,,,,,,11200000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11210000,,,,,,,,11210000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11220000,,,,,,,,11220000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_IntangRD,,,,,,,BS_IntangRD,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11100000,,,,,,,,11100000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11110000,,,,,,,,11110000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11120000,,,,,,,,11120000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_IntangTMPNPT,,,,,,BS_IntangTMPNPT,,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_IntangPNPT,,,,,,,BS_IntangPNPT,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11700000,,,,,,,,11700000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11710000,,,,,,,,11710000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11720000,,,,,,,,11720000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_IntangTM,,,,,,,BS_IntangTM,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11600000,,,,,,,,11600000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11610000,,,,,,,,11610000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11620000,,,,,,,,11620000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_IntangEE,,,,,,BS_IntangEE,,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11000000,,,,,,,11000000,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,11020000,,,,,,,11020000,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,200008310,Intangible Asset under- SCA,BS_GROUP,11030000,,,,,,,,11030000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_IntangOthe,,,,,,BS_IntangOthe,,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,205009020,Intangible Asset under development - SCA,BS_GROUP,11040000,,,,,,,,11040000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,215999999,Intangible assets under Development,BS_GROUP,11050000,,,,,,,,11050000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPENet,,,,,BS_PPENet,,,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_MiningLeases,,,,,,BS_PPE_MiningLeases,,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_MiningNet,,,,,,,BS_PPE_MiningNet,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_Mining,,,,,,,,BS_PPE_Mining,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12000000,,,,,,,,,12000000,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12010000,,,,,,,,,12010000,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12020000,,,,,,,,,12020000,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_Mining_RoUDR,,,,,,,,BS_PPE_Mining_RoUDR,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12000020,,,,,,,,,12000020,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12010020,,,,,,,,,12010020,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12020020,,,,,,,,,12020020,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_MiningLessee,,,,,,,,BS_PPE_MiningLessee,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12000010,,,,,,,,,12000010,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12010010,,,,,,,,,12010010,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12020010,,,,,,,,,12020010,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_MiningLessor,,,,,,,,BS_PPE_MiningLessor,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12000050,,,,,,,,,12000050,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12010050,,,,,,,,,12010050,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12020050,,,,,,,,,12020050,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_DefStrip,,,,,,,BS_PPE_DefStrip,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12100000,,,,,,,,12100000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12110000,,,,,,,,12110000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12120000,,,,,,,,12120000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_CCC,,,,,,,BS_PPE_CCC,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12200000,,,,,,,,12200000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12210000,,,,,,,,12210000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12220000,,,,,,,,12220000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_VesselsNet,,,,,,BS_PPE_VesselsNet,,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_Vessels,,,,,,,BS_PPE_Vessels,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,13000000,,,,,,,,13000000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,13010000,,,,,,,,13010000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,13020000,,,,,,,,13020000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_Vessels_RoUDR,,,,,,,BS_PPE_Vessels_RoUDR,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,13000020,,,,,,,,13000020,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,13010020,,,,,,,,13010020,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,13020020,,,,,,,,13020020,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_VesselsLessee,,,,,,,BS_PPE_VesselsLessee,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,13000010,,,,,,,,13000010,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,13010010,,,,,,,,13010010,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,13020010,,,,,,,,13020010,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_VesselsLessor,,,,,,,BS_PPE_VesselsLessor,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,13000050,,,,,,,,13000050,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,13010050,,,,,,,,13010050,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,13020050,,,,,,,,13020050,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_LandBuilding,,,,,,BS_PPE_LandBuilding,,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_Land_RoUDR,,,,,,,BS_PPE_Land_RoUDR,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12500020,,,,,,,,12500020,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12510020,,,,,,,,12510020,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12520020,,,,,,,,12520020,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_LB_RoUDR,,,,,,,BS_PPE_LB_RoUDR,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12501020,,,,,,,,12501020,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12511020,,,,,,,,12511020,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12521020,,,,,,,,12521020,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_LBLessee,,,,,,,BS_PPE_LBLessee,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_BuildLessee,,,,,,,,BS_PPE_BuildLessee,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12501010,,,,,,,,,12501010,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12511010,,,,,,,,,12511010,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12521010,,,,,,,,,12521010,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_LandLessee,,,,,,,,BS_PPE_LandLessee,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12500010,,,,,,,,,12500010,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12510010,,,,,,,,,12510010,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12520010,,,,,,,,,12520010,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_LBLessor,,,,,,,BS_PPE_LBLessor,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_BuildLessor,,,,,,,,BS_PPE_BuildLessor,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12501050,,,,,,,,,12501050,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12511050,,,,,,,,,12511050,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12521050,,,,,,,,,12521050,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_LandLessor,,,,,,,,BS_PPE_LandLessor,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12500050,,,,,,,,,12500050,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12510050,,,,,,,,,12510050,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12520050,,,,,,,,,12520050,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_Land,,,,,,,BS_PPE_Land,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,200001000,Freehold Land,BS_GROUP,12500000,,,,,,,,12500000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,200008385,Freehold Land-Adjustment,BS_GROUP,12500100,,,,,,,,12500100,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,210999991,Acc. Dep  - Freehold Land,BS_GROUP,12510000,,,,,,,,12510000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12520000,,,,,,,,12520000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_Building,,,,,,,BS_PPE_Building,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,200002100,Buildings - Factory,BS_GROUP,12501000,,,,,,,,12501000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,210002100,Acc. Depreciation-Factory Building,BS_GROUP,12511000,,,,,,,,12511000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12521000,,,,,,,,12521000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,200008375,Buildings - Factory-Adjustment,BS_GROUP,12501100,,,,,,,,12501100,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,210008285,Acc.Dep-Fact Build A,BS_GROUP,12511100,,,,,,,,12511100,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,200008365,Buildings -Office - Adjustment,BS_GROUP,12501200,,,,,,,,12501200,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,210002000,Accumulated Depreciation-Office Buildin,BS_GROUP,12511200,,,,,,,,12511200,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,200002000,Buildings - Office,BS_GROUP,12501300,,,,,,,,12501300,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,210002000,Accumulated Depreciation-Office Buildin,BS_GROUP,12511300,,,,,,,,12511300,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,200008365,Buildings -Office - Adjustment,BS_GROUP,12501400,,,,,,,,12501400,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,210008225,Accumulated Depreciation-Office Buildin,BS_GROUP,12511400,,,,,,,,12511400,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_InvestProp,,,,,,,BS_PPE_InvestProp,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,206999999,Investment Property,BS_GROUP,12600000,,,,,,,,12600000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12610000,,,,,,,,12610000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12620000,,,,,,,,12620000,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_CIPNet,,,,,,BS_PPE_CIPNet,,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_CIPLessee,,,,,,,BS_PPE_CIPLessee,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12900010,,,,,,,,12900010,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12920010,,,,,,,,12920010,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_CIPLessor,,,,,,,BS_PPE_CIPLessor,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12900050,,,,,,,,12900050,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12920050,,,,,,,,12920050,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,BS_PPE_CIPROU,,,,,,,BS_PPE_CIPROU,,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12900020,,,,,,,,12900020,,,,,,,
National Insurance,NAI3908,IFRS,,2020,202012-12,NewMappingMCOA,,,BS_GROUP,12920020,,,,,,,,12920020,,,,,,,
